Country,Commit Count,Commits per Capita,Commits_per_100000_People,Population
Kenya,2989,0.00007463811004,7.46,40046566
Uganda,2445,0.00007320648162,7.32,33398682
Madagascar,1508,0.00007085852147,7.09,21281844
Tunisia,707,0.0000667672425,6.68,10589025
Saudi Arabia,1704,0.00006622162419,6.62,25731776
Kuwait,178,0.000063819138,6.38,2789132
Guatemala,856,0.00006317138041,6.32,13550440
Barbados,18,0.0000630135164,6.3,285653
Ghana,1405,0.00005772429545,5.77,24339838
Guam,9,0.00005647661241,5.65,159358
Comoros,43,0.00005559815207,5.56,773407
Azerbaijan,450,0.00005419393625,5.42,8303512
Botswana,105,0.00005174180151,5.17,2029307
Senegal,619,0.00005023024767,5.02,12323252
Martinique,21,0.00004851004851,4.85,432900
Kosovo,87,0.00004833333333,4.83,1800000
Cambodia,639,0.00004421019422,4.42,14453680
Uzbekistan,1082,0.00003882904519,3.88,27865738
Fiji,34,0.00003881353862,3.88,875983
Nepal,1096,0.00003785595478,3.79,28951852
Iran,2742,0.00003564589663,3.56,76923300
Liberia,128,0.00003473469747,3.47,3685076
Benin,298,0.00003290632409,3.29,9056010
Egypt,2447,0.00003040814176,3.04,80471869
Morocco,949,0.00003000560147,3,31627428
Qatar,24,0.00002853996666,2.85,840926
Grenada,3,0.0000278246675,2.78,107818
Jordan,175,0.00002731351309,2.73,6407085
French Polynesia,6,0.0000221823761,2.22,270485
Bangladesh,3078,0.00001971579736,1.97,156118464
Gambia,30,0.00001882936578,1.88,1593256
Cameroon,318,0.00001648168053,1.65,19294149
Pakistan,2920,0.00001583472959,1.58,184404791
Algeria,513,0.00001483251231,1.48,34586184
Tajikistan,84,0.00001121871431,1.12,7487489
Belize,3,0.000009538283491,0.95,314522
Palestinian Territory,36,0.000009473684211,0.95,3800000
Democratic Republic of the Congo,655,0.000009236222366,0.92,70916439
Burkina Faso,102,0.000006280087855,0.63,16241811
Eritrea,31,0.000005351300815,0.54,5792984
Turkmenistan,22,0.000004452615669,0.45,4940916
Nigeria,676,0.00000438961039,0.44,154000000
Somalia,44,0.000004351070902,0.44,10112453
Ethiopia,351,0.000003988024972,0.4,88013491
Zambia,53,0.000003937503645,0.39,13460305
Tanzania,153,0.000003652170613,0.37,41892895
Myanmar,69,0.000001291787113,0.13,53414374
Yemen,24,0.00000102147824,0.1,23495361
Haiti,9,0.000000932746491,0.09,9648924
Sierra Leone,3,0.000000571897527,0.06,5245695
Angola,3,0.000000229565583,0.02,13068161
Bouvet Island,79,0,0,0
Antarctica,471,0,0,0
